# sample_id	trunc_f	trunc_r	trim_f	trim_r	max_ee_f	max_ee_r	seq_mode
# Parâmetros não preenchidos usam o padrão do .conf do projeto
# Projeto: ENA — 16S V3-V4 (341F/806R), MiSeq 2x300, primers presentes
ERR10890547	270	240	17	20	2	4	paired
ERR10890548	270	240	17	20	2	4	paired
ERR10890549	270	240	17	20	2	4	paired
ERR10890550	270	240	17	20	2	4	paired
ERR10890551	270	240	17	20	2	4	paired
ERR10890552	270	240	17	20	2	4	paired
ERR10890553	270	240	17	20	2	4	paired
ERR10890554	270	240	17	20	2	4	paired
ERR10890555	270	240	17	20	2	4	paired
ERR10890556	270	240	17	20	2	4	paired
ERR10890557	270	240	17	20	2	4	paired
ERR10890558	270	240	17	20	2	4	paired
ERR10890559	270	240	17	20	2	4	paired
ERR10890560	270	240	17	20	2	4	paired
ERR10890561	270	240	17	20	2	4	paired
ERR10890562	270	240	17	20	2	4	paired
ERR10890563	270	240	17	20	2	4	paired
ERR10890564	270	240	17	20	2	4	paired
ERR10890565	270	240	17	20	2	4	paired
ERR10890566	270	240	17	20	2	4	paired
ERR10890567	270	240	17	20	2	4	paired
ERR10890568	270	240	17	20	2	4	paired
ERR10890569	270	240	17	20	2	4	paired
ERR10890570	270	240	17	20	2	4	paired
ERR10890571	270	240	17	20	2	4	paired
