sample-id	description
SRR15247053	SRR15247053
SRR15247054	SRR15247054
SRR15247055	SRR15247055
SRR15247056	SRR15247056
SRR15247057	SRR15247057
SRR15247058	SRR15247058
SRR15247059	SRR15247059
SRR15247060	SRR15247060
SRR15247061	SRR15247061
SRR15247062	SRR15247062
SRR15247063	SRR15247063
SRR15247064	SRR15247064
SRR15247065	SRR15247065
SRR15247066	SRR15247066
SRR15247067	SRR15247067
SRR15247068	SRR15247068
SRR15247069	SRR15247069
SRR15247070	SRR15247070
SRR15247071	SRR15247071
SRR15247072	SRR15247072
SRR15247073	SRR15247073
SRR15247074	SRR15247074
SRR15247075	SRR15247075
SRR15247076	SRR15247076
SRR15247077	SRR15247077
SRR15247078	SRR15247078
SRR15247079	SRR15247079
SRR15247080	SRR15247080
SRR15247081	SRR15247081
SRR15247082	SRR15247082
SRR15247083	SRR15247083
