# sample_id	trunc_f	trunc_r	trim_f	trim_r	max_ee_f	max_ee_r	seq_mode
# Parâmetros não preenchidos usam o padrão do .conf do projeto
# Projeto: PRJNA702448 — 16S V4 (515F/806R), MiSeq, primers removidos
SRR15247053	280	235	0	0	2	2	paired
SRR15247054	280	235	0	0	2	2	paired
SRR15247055	280	235	0	0	2	2	paired
SRR15247056	280	235	0	0	2	2	paired
SRR15247057	280	235	0	0	2	2	paired
SRR15247058	280	235	0	0	2	2	paired
SRR15247059	280	235	0	0	2	2	paired
SRR15247060	280	235	0	0	2	2	paired
SRR15247061	280	235	0	0	2	2	paired
SRR15247062	280	235	0	0	2	2	paired
SRR15247063	280	235	0	0	2	2	paired
SRR15247064	280	235	0	0	2	2	paired
SRR15247065	280	235	0	0	2	2	paired
SRR15247066	280	235	0	0	2	2	paired
SRR15247067	280	235	0	0	2	2	paired
SRR15247068	280	235	0	0	2	2	paired
SRR15247069	280	235	0	0	2	2	paired
SRR15247070	280	235	0	0	2	2	paired
SRR15247071	280	235	0	0	2	2	paired
SRR15247072	280	235	0	0	2	2	paired
SRR15247073	280	235	0	0	2	2	paired
SRR15247074	280	235	0	0	2	2	paired
SRR15247075	280	235	0	0	2	2	paired
SRR15247076	280	235	0	0	2	2	paired
SRR15247077	280	235	0	0	2	2	paired
SRR15247078	280	235	0	0	2	2	paired
SRR15247079	280	235	0	0	2	2	paired
SRR15247080	280	235	0	0	2	2	paired
SRR15247081	280	235	0	0	2	2	paired
SRR15247082	280	235	0	0	2	2	paired
SRR15247083	280	235	0	0	2	2	paired
