# sample_id	trunc_f	trunc_r	trim_f	trim_r	max_ee_f	max_ee_r	seq_mode
# Projeto: PRJNA630025 — ITS2 (ITS3-KYO1/ITS4), MiSeq 2x300 — Barba Peider + Villum
# TRUNC=0: amplicons ITS variam em comprimento (não truncar)
SRR11851976	0	0	18	20	2	2	paired
SRR11851977	0	0	18	20	2	2	paired
SRR11851979	0	0	18	20	2	2	paired
SRR11851980	0	0	18	20	2	2	paired
SRR11851981	0	0	18	20	2	2	paired
SRR11851982	0	0	18	20	2	2	paired
SRR11851983	0	0	18	20	2	2	paired
SRR11851984	0	0	18	20	2	2	paired
SRR11851985	0	0	18	20	2	2	paired
SRR11851986	0	0	18	20	2	2	paired
SRR11851987	0	0	18	20	2	2	paired
SRR11851988	0	0	18	20	2	2	paired
SRR11851990	0	0	18	20	2	2	paired
SRR11851991	0	0	18	20	2	2	paired
SRR11851992	0	0	18	20	2	2	paired
SRR11851993	0	0	18	20	2	2	paired
SRR11851994	0	0	18	20	2	2	paired
SRR11851995	0	0	18	20	2	2	paired
SRR11851996	0	0	18	20	2	2	paired
SRR11851997	0	0	18	20	2	2	paired
SRR11851998	0	0	18	20	2	2	paired
SRR11851999	0	0	18	20	2	2	paired
SRR11852001	0	0	18	20	2	2	paired
SRR11852002	0	0	18	20	2	2	paired
SRR11852003	0	0	18	20	2	2	paired
SRR11852004	0	0	18	20	2	2	paired
SRR11852005	0	0	18	20	2	2	paired
SRR11852006	0	0	18	20	2	2	paired
SRR11852007	0	0	18	20	2	2	paired
SRR11852008	0	0	18	20	2	2	paired
SRR11852009	0	0	18	20	2	2	paired
SRR11852010	0	0	18	20	2	2	paired
SRR11852012	0	0	18	20	2	2	paired
SRR11852013	0	0	18	20	2	2	paired
SRR11852014	0	0	18	20	2	2	paired
SRR11852015	0	0	18	20	2	2	paired
SRR11852031	0	0	18	20	2	2	paired
