# sample_id	trunc_f	trunc_r	trim_f	trim_r	max_ee_f	max_ee_r	seq_mode
# Projeto: PRJNA630025 — 16S V3-V4 (341F/806R), MiSeq 2x300, primers presentes
SRR11851974	270	240	17	20	2	4	paired
SRR11851975	270	240	17	20	2	4	paired
SRR11851978	270	240	17	20	2	4	paired
SRR11851989	270	240	17	20	2	4	paired
SRR11852000	270	240	17	20	2	4	paired
SRR11852011	270	240	17	20	2	4	paired
SRR11852016	270	240	17	20	2	4	paired
SRR11852017	270	240	17	20	2	4	paired
SRR11852018	270	240	17	20	2	4	paired
SRR11852019	270	240	17	20	2	4	paired
SRR11852020	270	240	17	20	2	4	paired
SRR11852021	270	240	17	20	2	4	paired
SRR11852022	270	240	17	20	2	4	paired
SRR11852023	270	240	17	20	2	4	paired
SRR11852024	270	240	17	20	2	4	paired
SRR11852025	270	240	17	20	2	4	paired
SRR11852026	270	240	17	20	2	4	paired
SRR11852027	270	240	17	20	2	4	paired
SRR11852028	270	240	17	20	2	4	paired
SRR11852029	270	240	17	20	2	4	paired
SRR11852030	270	240	17	20	2	4	paired
SRR11852032	270	240	17	20	2	4	paired
SRR11852033	270	240	17	20	2	4	paired
SRR11852034	270	240	17	20	2	4	paired
SRR11852035	270	240	17	20	2	4	paired
SRR11852036	270	240	17	20	2	4	paired
SRR11852037	270	240	17	20	2	4	paired
SRR11852038	270	240	17	20	2	4	paired
SRR11852039	270	240	17	20	2	4	paired
SRR11852040	270	240	17	20	2	4	paired
SRR11852041	270	240	17	20	2	4	paired
SRR11852042	270	240	17	20	2	4	paired
SRR11852043	270	240	17	20	2	4	paired
SRR11852044	270	240	17	20	2	4	paired
SRR11852045	270	240	17	20	2	4	paired
