sample-id	description
SRR11748991	SRR11748991
SRR11748992	SRR11748992
SRR11748993	SRR11748993
SRR11748994	SRR11748994
SRR11748996	SRR11748996
SRR11748997	SRR11748997
SRR11748998	SRR11748998
SRR11748999	SRR11748999
SRR11749000	SRR11749000
SRR11749001	SRR11749001
SRR11749002	SRR11749002
SRR11749003	SRR11749003
SRR11749004	SRR11749004
SRR11749006	SRR11749006
SRR11749007	SRR11749007
SRR11749008	SRR11749008
SRR11749009	SRR11749009
SRR11749010	SRR11749010
SRR11749012	SRR11749012
SRR11749013	SRR11749013
SRR11749014	SRR11749014
SRR11749015	SRR11749015
SRR11749016	SRR11749016
SRR11749017	SRR11749017
SRR11749018	SRR11749018
SRR11749020	SRR11749020
SRR11749022	SRR11749022
SRR11749023	SRR11749023
SRR11749024	SRR11749024
SRR11749025	SRR11749025
SRR11749026	SRR11749026
SRR11749027	SRR11749027
SRR11749028	SRR11749028
SRR11749029	SRR11749029
SRR11749032	SRR11749032
SRR11749054	SRR11749054
SRR11749065	SRR11749065
SRR11749076	SRR11749076
SRR11749077	SRR11749077
SRR11749083	SRR11749083
SRR11749084	SRR11749084
SRR11749085	SRR11749085
SRR11749086	SRR11749086
SRR11749087	SRR11749087
SRR11749088	SRR11749088
SRR11749089	SRR11749089
SRR11749090	SRR11749090
SRR11749091	SRR11749091
SRR11749092	SRR11749092
SRR11749093	SRR11749093
SRR11749094	SRR11749094
SRR11749095	SRR11749095
SRR11749096	SRR11749096
SRR11749097	SRR11749097
SRR11749098	SRR11749098
SRR11749099	SRR11749099
SRR11749100	SRR11749100
SRR11749101	SRR11749101
SRR11749102	SRR11749102
SRR11749103	SRR11749103
SRR11749104	SRR11749104
SRR11749105	SRR11749105
SRR11749106	SRR11749106
SRR11749107	SRR11749107
SRR11749108	SRR11749108
SRR11749109	SRR11749109
SRR11749110	SRR11749110
SRR11749112	SRR11749112
SRR11749113	SRR11749113
SRR11749114	SRR11749114
SRR11749115	SRR11749115
SRR11749116	SRR11749116
SRR11749117	SRR11749117
SRR11749118	SRR11749118
SRR11749119	SRR11749119
SRR11749120	SRR11749120
SRR11749121	SRR11749121
SRR11749122	SRR11749122
SRR11749123	SRR11749123
SRR11749124	SRR11749124
SRR11749125	SRR11749125
SRR11749126	SRR11749126
SRR11749127	SRR11749127
SRR11749128	SRR11749128
SRR11749129	SRR11749129
SRR11749130	SRR11749130
SRR11749131	SRR11749131
SRR11749132	SRR11749132
