sample-id	description
SRR30519516	SRR30519516
SRR30519517	SRR30519517
SRR30519518	SRR30519518
SRR30519519	SRR30519519
SRR30519520	SRR30519520
SRR30519521	SRR30519521
SRR30519522	SRR30519522
SRR30519523	SRR30519523
SRR30519524	SRR30519524
SRR30519525	SRR30519525
SRR30519526	SRR30519526
SRR30519527	SRR30519527
SRR30519528	SRR30519528
SRR30519529	SRR30519529
SRR30519530	SRR30519530
SRR30519531	SRR30519531
SRR30519532	SRR30519532
SRR30519533	SRR30519533
SRR30519534	SRR30519534
SRR30519535	SRR30519535
SRR30519536	SRR30519536
SRR30519537	SRR30519537
SRR30519538	SRR30519538
SRR30519539	SRR30519539
SRR30519540	SRR30519540
SRR30519541	SRR30519541
SRR30519542	SRR30519542
SRR30519543	SRR30519543
SRR30519544	SRR30519544
SRR30519545	SRR30519545
SRR30519546	SRR30519546
SRR30519547	SRR30519547
SRR30519548	SRR30519548
SRR30519549	SRR30519549
SRR30519550	SRR30519550
SRR30519551	SRR30519551
SRR30519552	SRR30519552
SRR30519553	SRR30519553
SRR30519554	SRR30519554
SRR30519555	SRR30519555
SRR30519556	SRR30519556
SRR30519557	SRR30519557
SRR30519558	SRR30519558
SRR30519559	SRR30519559
SRR30519560	SRR30519560
SRR30519561	SRR30519561
SRR30519562	SRR30519562
SRR30519563	SRR30519563
