sample-id	description
SRR30517334	SRR30517334
SRR30517335	SRR30517335
SRR30517336	SRR30517336
SRR30517337	SRR30517337
SRR30517338	SRR30517338
SRR30517339	SRR30517339
SRR30517340	SRR30517340
SRR30517341	SRR30517341
SRR30517342	SRR30517342
SRR30517343	SRR30517343
SRR30517344	SRR30517344
SRR30517345	SRR30517345
SRR30517346	SRR30517346
SRR30517347	SRR30517347
SRR30517348	SRR30517348
SRR30517349	SRR30517349
SRR30517350	SRR30517350
SRR30517351	SRR30517351
SRR30517352	SRR30517352
SRR30517353	SRR30517353
SRR30517354	SRR30517354
SRR30517355	SRR30517355
SRR30517356	SRR30517356
SRR30517357	SRR30517357
SRR30517358	SRR30517358
SRR30517359	SRR30517359
SRR30517360	SRR30517360
SRR30517361	SRR30517361
SRR30517362	SRR30517362
SRR30517363	SRR30517363
SRR30517364	SRR30517364
SRR30517365	SRR30517365
SRR30517366	SRR30517366
SRR30517367	SRR30517367
SRR30517368	SRR30517368
SRR30517369	SRR30517369
SRR30517370	SRR30517370
SRR30517371	SRR30517371
SRR30517372	SRR30517372
SRR30517373	SRR30517373
SRR30517374	SRR30517374
SRR30517375	SRR30517375
SRR30517376	SRR30517376
SRR30517377	SRR30517377
SRR30517378	SRR30517378
SRR30517379	SRR30517379
SRR30517380	SRR30517380
SRR30517381	SRR30517381
