# Constructed from biom file
#OTU ID	SRR23373543	SRR23373544	SRR23373545	SRR23373546	SRR23373547	SRR23373548	SRR23373555	SRR23373566	SRR23373575	SRR23373576	SRR23373577	SRR23373578
ab576689a237c580d3693b36b6587025	0.0	7.0	6.0	4.0	4.0	0.0	6.0	0.0	3.0	0.0	0.0	10.0
398da4da0d6fab476199e28bdbf3d47a	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d8ace907b2c7298452f39443785678ed	0.0	0.0	0.0	8.0	0.0	0.0	0.0	10.0	0.0	0.0	8.0	0.0
6177aa6e00b70d08bc7e0bd29cf05b13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	16.0
6ff113b1712abe57680f31d62445c051	27.0	37.0	35.0	32.0	31.0	42.0	38.0	50.0	30.0	20.0	38.0	43.0
d4cb29080e56a06ef36f99b209f2b225	17.0	27.0	0.0	58.0	0.0	20.0	23.0	40.0	46.0	24.0	28.0	29.0
b5c5b7b22affc01f8335d5d4e0957058	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d587ec6aa1be98c64dd37866136648b0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	20.0	12.0	0.0	0.0
9603233687a7eb52c9fea4afa25e1d9e	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0
1ec867096e7d1195275aba48ad763c1b	43.0	0.0	0.0	49.0	52.0	57.0	46.0	43.0	51.0	65.0	38.0	32.0
1ea5bb1d85c6d5c208ac357d48144ebc	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e81b6759026f808d4dcbdf3041903028	43.0	0.0	0.0	0.0	0.0	31.0	0.0	43.0	0.0	0.0	0.0	0.0
ec88b45f304b820bcbb9203c977b3c74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
4de1d7c4de7d8a2ac370e540fcb6b942	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
5918bb56a8fbc5adda9925fc68cf373b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0
30bcd864742e56f77a6a2befd5f9e9bc	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0
19d7024907578a434a244de001a70e6d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0
45b1b55cb6062d5cdf45e521843d99c6	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	14.0
5027111208da38566dae5e25c644dfad	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0
ff55fb9d0ad72d3f6034757e59d1f64c	0.0	5.0	12.0	9.0	0.0	6.0	6.0	0.0	14.0	0.0	0.0	5.0
c3094b78fc58c04045b3f8017b774dac	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6ddb3c6e40dc7f1c7d90c7ba9d1c0775	0.0	8.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0
514d3b98d745c6e3ccb88315b0f6e85a	0.0	0.0	0.0	0.0	0.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0
27cff0355a1a9d9be9e27a1d3a917020	0.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0
9c75d510a2b9b340a47be48aec6f03cc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
e7df09c4c0b8b648ecbad7a9dd169152	59.0	94.0	110.0	164.0	76.0	102.0	117.0	109.0	117.0	104.0	104.0	151.0
2c3c1199ed7f8c010ccda8320e32e142	14.0	13.0	0.0	22.0	11.0	42.0	15.0	29.0	0.0	14.0	31.0	18.0
91ef789748c5479ac54c2e52088fc301	0.0	18.0	0.0	15.0	0.0	0.0	0.0	23.0	0.0	23.0	23.0	0.0
632a72e03fe1266be17f8ad4cd3d5831	0.0	0.0	0.0	17.0	0.0	0.0	0.0	15.0	0.0	11.0	15.0	0.0
4b3af5bed2f0e490ac1463b41c53d950	86.0	63.0	60.0	61.0	54.0	84.0	59.0	88.0	85.0	101.0	51.0	100.0
6a3f1461f75a4c49b19d1ab87d060151	0.0	43.0	0.0	50.0	0.0	32.0	0.0	0.0	60.0	0.0	0.0	30.0
4363b3b9c379dfb6259116ce263e797e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
1aef2ec7c96d02832ea81da44cc36544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0
b75b4b6b43c5b8ce6d3b9bcfd04db383	0.0	0.0	35.0	44.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	33.0
ff3dba408a7a6e26c505045ff66022aa	67.0	64.0	92.0	94.0	54.0	94.0	83.0	100.0	69.0	94.0	87.0	113.0
987193d6ca6946a04ece4b9682005f3b	16.0	0.0	0.0	0.0	14.0	0.0	12.0	14.0	0.0	15.0	0.0	0.0
41727a7ca608db47264b91cb874dd7a3	0.0	42.0	38.0	39.0	34.0	52.0	47.0	54.0	34.0	40.0	36.0	39.0
2d16f645c5eba407c1ee76adf2408dcd	25.0	35.0	28.0	51.0	27.0	37.0	32.0	42.0	30.0	30.0	26.0	57.0
e32dfeba0cbed5e76608505e2d9255bb	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9ad970fe54619a2156d2f62a611b350c	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0
702e821793e8ad73e60a49ee91165118	0.0	16.0	13.0	0.0	0.0	22.0	0.0	20.0	0.0	0.0	16.0	0.0
9a790252bca038b2d3a5f533a9d9c3df	19.0	15.0	16.0	33.0	0.0	31.0	16.0	26.0	0.0	20.0	24.0	23.0
a3b88481952251b42e9faa570598bdfe	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
51bfb73375f704185b53a1a2fa9df317	29.0	24.0	72.0	79.0	53.0	44.0	44.0	56.0	46.0	98.0	38.0	59.0
344f7a29bd9485be3c64a73e173436fe	0.0	10.0	15.0	0.0	0.0	0.0	0.0	13.0	23.0	0.0	22.0	25.0
91be5761a69d86ccc46af8273226270d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
8a96f547f661f2b145a063727bcb9025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
d8147479a31fc5a28e4f606c34ce2627	0.0	0.0	11.0	23.0	0.0	9.0	0.0	11.0	0.0	16.0	12.0	0.0
f109f70d2d9607a447b9acb55414daf0	12.0	22.0	16.0	19.0	19.0	12.0	23.0	23.0	10.0	14.0	21.0	13.0
caa19875e5d7396db6f12269c4bff238	129.0	149.0	176.0	251.0	113.0	186.0	110.0	204.0	179.0	217.0	149.0	86.0
8a131e945a2849f92d8f9317b7552c83	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
708ee5e12bd5a073ee136a15f4f29390	117.0	151.0	178.0	198.0	145.0	158.0	145.0	168.0	169.0	170.0	148.0	141.0
61c01b84d1fddb720a1e3bf1e2c94b87	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	13.0	0.0	0.0	0.0
32bd10a5fa345f75961830fba305c09e	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0
1ec6ed7d87327c0c86e75b745588c284	0.0	25.0	22.0	22.0	0.0	0.0	22.0	0.0	0.0	0.0	16.0	0.0
0120e49ae6ea4a9a8fde3869a578874f	19.0	20.0	49.0	49.0	45.0	34.0	21.0	30.0	33.0	55.0	26.0	43.0
0f8ac0d81dd6449a43b34fcb184efd8f	0.0	0.0	53.0	0.0	45.0	58.0	0.0	46.0	0.0	0.0	0.0	0.0
904da545876cfbd654fc2e33c4ed9474	0.0	9.0	0.0	13.0	0.0	0.0	8.0	21.0	0.0	0.0	10.0	0.0
6b7e32a65edcc5ab92a54ae57dc2413b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	9.0	0.0	0.0	0.0
d0a8f733fdd14e26511c38b5eae47a0c	0.0	18.0	19.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	24.0
c2c34f5165cff6c5a27c3765fe674132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
1509fda8da021eb20c9ada9fd85e30a1	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0
9922f1d032c2d9e08d962c62d240b5fa	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9609e06372fc623bccc26db8f7912f39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
c99a3b138ae92bdb1b79908e0d86e575	9.0	11.0	11.0	10.0	0.0	0.0	14.0	0.0	7.0	0.0	0.0	0.0
d6b2ca14f070ccd52bc052e9bf240f68	28.0	13.0	20.0	30.0	0.0	33.0	0.0	13.0	19.0	15.0	25.0	29.0
66f6ff8a6e4d18bff03939c6b32371b7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
08045c8a57c912905051134ebdf8f29e	11.0	16.0	14.0	19.0	19.0	16.0	16.0	16.0	17.0	14.0	10.0	16.0
ca555ba2e6e2df39833216ef98c0d635	0.0	0.0	0.0	13.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
ba59931aa3c97deaf75339a00a3a2902	34.0	25.0	35.0	50.0	24.0	31.0	36.0	27.0	28.0	25.0	44.0	30.0
8fa39047c917141ed4966b56c232ec74	18.0	0.0	0.0	0.0	18.0	0.0	0.0	23.0	22.0	17.0	0.0	22.0
1eb14ed44bc3323a34712006353e308a	24.0	59.0	84.0	71.0	46.0	67.0	30.0	71.0	56.0	78.0	50.0	48.0
49d3e872f8055497d0d9cc076f5f2362	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
853ed46b314e180fb2435760b16f0695	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
ba18f39b74172ef1bb9dddefa0ce707a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
64394062a6fb26bf2acdc8bd59a4f290	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1fcc21c8e676711cbbdbbb45fb09816c	31.0	33.0	41.0	56.0	24.0	24.0	41.0	49.0	42.0	39.0	54.0	33.0
01b8806675ab9f95fc1bfd6ff18f58c6	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
1e5c040acd86fafef37e01201df65351	26.0	17.0	33.0	41.0	0.0	29.0	39.0	35.0	25.0	22.0	44.0	22.0
e53bde09c903e12c771731321aaafc87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
1904efb2080080f889d2feedff9642ff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0
ff96cfdafcf2b40c13bf90c5c0bf7ac4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0
4b3e2b18d2d6210b5c7291697dfd9b5e	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fcd5e9883d687addc9384b071e8b5da1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0
e2c185bf1124284933cf2f2213e35597	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4071ebaea2148dd15ebae656241a2115	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5d5d26424f03726defdc412069142200	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
90c9ab785a5a9756f23fa6f12d2af33a	0.0	14.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0
955cda7359b6b01dbf5bf1caeb1a0431	0.0	3.0	0.0	8.0	0.0	0.0	2.0	9.0	0.0	6.0	0.0	0.0
8824901464c3b08308e3968a8996101f	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20a0013362abaf3bbbaf49ff7f61c570	0.0	4.0	10.0	9.0	9.0	2.0	0.0	9.0	4.0	7.0	7.0	0.0
1e081e9da4b776cb322b53d9355b1e4f	0.0	0.0	13.0	10.0	0.0	0.0	0.0	0.0	10.0	9.0	0.0	15.0
b319b4c1eeb5b6bb6736aff56c73f6be	7.0	14.0	22.0	23.0	12.0	0.0	8.0	27.0	14.0	16.0	17.0	11.0
11cb78a77a49493e230aef886e4e9eab	0.0	0.0	29.0	45.0	27.0	38.0	0.0	46.0	30.0	0.0	0.0	31.0
62944fbff2eeca3e27bd7bd30d88b26a	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0
fff0a220d195c06bd50cdd81c45e0b4b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
035bba0b0dcc70891d4f5e6b07b09965	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
24ba0f2dbce15d88dd5ea93daccb3b4c	10.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
c5f6840e72729388263badaccc7051f4	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
f159c5164ce2fc7f7729e56ff46b1f16	34.0	0.0	0.0	31.0	48.0	50.0	0.0	38.0	0.0	0.0	0.0	34.0
da83b3220b57935a34ab7a1e2ac806cf	45.0	66.0	44.0	64.0	34.0	43.0	28.0	53.0	39.0	45.0	46.0	41.0
a7607187358392f6f44c2e5fe7c6456a	11.0	8.0	0.0	20.0	0.0	14.0	13.0	13.0	0.0	16.0	0.0	14.0
ad1374afbc963229134986308d392347	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5bdcc4d6b6a245ccd3e24abba40f47fe	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f0522e0b419d3259f37a04a39ba7f353	19.0	0.0	22.0	0.0	28.0	0.0	0.0	0.0	40.0	24.0	13.0	0.0
3a636cb53f96b4d8fc6288bbb8519740	14.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	7.0
03e4453f71abd63e8202a28310ee096f	0.0	10.0	11.0	0.0	12.0	0.0	12.0	0.0	0.0	0.0	0.0	12.0
33a0349d858ec4162a4505d688e4a8b9	0.0	3.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0
e956a425d4d403102f6db6b28ea61d7f	64.0	71.0	58.0	68.0	0.0	92.0	62.0	47.0	57.0	49.0	63.0	64.0
a03c31ccfc3b56fb0b9a63053309107f	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
109380c35a0b8fb1612db352aafca9e5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
16c33318761acd342b883b29aa4ca985	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2b92f2dae4028750284c82875fadcea4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
4b2e1d349004c0225b7d32b2fef178de	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3f9580df7291a73d26291e5657498aa0	0.0	0.0	18.0	29.0	0.0	20.0	21.0	13.0	20.0	23.0	11.0	31.0
